iter	Passed	Remaining
192	248	1037
193	248	1033
194	249	1028
195	249	1023
196	250	1019
197	250	1014
198	250	1010
199	251	1005
200	251	1001
201	252	996
202	252	992
203	253	988
204	254	985
205	254	981
206	255	976
207	255	972
208	255	968
209	256	964
210	256	960
211	257	956
212	257	952
213	258	948
214	258	944
215	259	941
216	259	937
217	260	934
218	260	930
219	261	926
220	261	923
221	262	919
222	262	915
223	263	911
224	263	908
225	264	904
226	264	901
227	265	897
228	265	893
229	265	890
230	266	887
231	267	884
232	267	881
233	268	877
234	268	874
235	269	871
236	269	867
237	270	864
238	270	861
239	270	857
240	271	854
241	271	851
242	272	848
243	272	845
244	273	842
245	273	839
246	274	836
247	274	833
248	275	830
249	275	826
250	276	824
251	276	821
252	277	817
253	277	814
254	277	812
255	278	809
256	278	806
257	279	803
258	279	801
259	280	798
260	280	795
261	281	792
262	281	790
263	282	787
264	282	784
265	283	781
266	283	779
267	284	776
268	284	773
269	285	771
270	285	769
271	286	766
272	286	763
273	287	761
274	287	758
275	288	756
276	288	753
277	289	750
278	289	748
279	290	745
280	290	743
281	290	740
282	291	738
283	292	736
284	292	733
285	293	731
286	293	729
287	293	726
288	294	724
289	294	721
290	295	719
291	295	717
292	296	715
293	296	712
294	297	710
295	298	708
296	298	706
297	299	704
298	299	702
299	300	700
300	300	698
301	301	696
302	301	693
303	302	691
304	302	689
305	303	687
306	303	685
307	304	683
308	304	681
309	305	679
310	305	677
311	306	675
312	306	673
313	307	671
314	307	668
315	308	666
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	311	655
322	311	653
323	312	651
324	312	649
325	313	647
326	313	645
327	314	643
328	314	641
329	314	639
330	315	637
331	315	635
332	316	633
333	316	631
334	317	630
335	317	628
336	318	626
337	318	624
338	319	622
339	319	621
340	320	619
341	320	617
342	321	615
343	321	613
344	322	611
345	322	609
346	323	608
347	323	606
348	324	605
349	324	603
350	325	601
351	325	599
352	326	598
353	326	596
354	327	594
355	327	592
356	328	591
357	328	589
358	329	587
359	329	586
360	330	584
361	330	582
362	331	581
363	331	579
364	332	577
365	332	575
366	332	574
367	333	572
368	333	570
369	334	569
370	334	567
371	335	565
372	335	564
373	336	563
374	336	561
375	337	560
376	337	558
377	338	556
378	338	555
379	339	553
380	339	552
381	340	550
382	340	549
383	341	547
384	341	545
385	342	544
386	343	543
387	343	541
388	343	540
389	344	538
390	344	537
391	345	535
392	345	534
393	346	532
394	346	531
395	347	529
396	347	528
397	348	526
398	348	525
399	349	524
400	349	522
401	350	521
402	350	519
403	351	518
404	351	516
405	352	515
406	352	514
407	353	512
408	353	511
409	354	509
410	354	508
411	355	507
412	356	506
413	356	504
414	356	503
415	357	501
416	357	500
417	358	498
418	358	497
419	359	495
420	359	494
421	360	493
422	360	491
423	360	490
424	361	489
425	362	487
426	362	486
427	362	485
428	363	483
429	363	482
430	364	481
431	364	479
432	365	478
433	365	476
434	366	475
435	366	474
436	367	473
437	367	471
438	368	470
439	368	469
440	369	468
441	369	466
442	370	465
443	370	464
444	371	462
445	371	461
446	372	460
447	372	459
448	373	457
449	373	456
450	374	455
451	374	454
452	375	453
453	375	451
454	376	450
455	376	449
456	377	448
457	377	447
458	378	445
459	378	444
460	379	443
461	379	442
462	380	440
463	380	439
464	381	438
465	381	437
466	382	436
467	383	435
468	383	434
469	384	433
470	384	432
471	385	430
472	385	429
473	386	428
474	386	427
475	387	426
476	388	425
477	388	424
478	389	423
479	389	422
480	390	421
481	390	420
482	391	419
483	392	418
484	392	417
485	393	416
486	394	415
487	394	414
488	395	412
489	395	411
490	396	410
491	396	409
492	397	408
493	397	407
494	398	406
495	398	405
496	399	404
